,phrase,translation
136,kikinavid do sotirip,
137,Adavasi no minggamagama,
138,biano no tu kipaip no sid valai,
139,Oruhai mangagama dino bubu dino,
140,elo ogi,
141,Vizahon no bo,
142,makan,
143,Opodos,
144,longuas yadko lazo,
145,Sumambayang tokou po,
146,minggu,
147,Onuvon ku ino duku dikou,
148,kozuan dikou patahakI,
149,Dadan do lumohing no amu tantu korongou,
150,pibabarasan,
151,Yoku kondiri o magazau,
152,vitilon oku no,
153,Sabap pogi om amu mangakan oku do lada husukon oku,
154,koponosok oku no,
155,Samung kou di YB kaluto,
156,manahak yalo do siin,
157,Sakai,
158,yalo tu insan ogi kosirid bandal,
159,Soroho oku no,
160,Obungou ko ulun,
161,anak di Sikob manakau,
162,Akahag o pongoretan,
163,ondu do songkovozoo do kusai dot okonko savo dau,
164,Obong sinod ongkob,
165,malan ko no mamanau,
166,Kalu,
167,kosunu okoi Kumudat opungai oku laid do siin pamayal ku dino karan tokou,
168,Kadan no mamung mimomoi,
169,obogihad ko ulun,
170,Amung siti dahai tu okudik,
171,yokoi,
172,Tuhop no siti,
173,modsu ko no,
174,Onsom,
175,iti bambangan,
176,Tiakan oku lumansat,
177,iti,
178,Sondot mogomogom,
179,makan ko,
180,Sumakap po mangakan do lada,
181,biano tu tinunuvan pahi ot ikana,
182,Alaid banal tumai,
183,ikau,
184,Iseso oku po sid alud yosido sid saralom do vaig Na ka di ginavo ku Ong aso no koindakadan di kuvoon dino osuhul,
185,tumuhop oku diti ka di ginavo ku,
186,Tiakan oku linugu dalai sid tagad,
187,Suvaiko aparu gumama om kakan ogi,
188,riniba,
189,Dongot,
190,yalo bala dino,
191,Siti kod somok ku,
192,mokisuvu kono,
193,Mangasip no,
194,barasan,
195,Andang ko bai ponugirak,
196,yalo dino dot ulun,
197,Obohog ino dolou nu,
198,mindolongoi ko no,
199,Ba,
200,yad dino mangakun okui,
201,It ongoondu mamangasok no,
202,sumakai no i pangasakan,
203,Sumul mogoduw dot anak,
204,Duat silod sigu hodi,
205,varo not amu elaan nu,
206,Osindak,
207,buluntung tu nopompon turu o warana,
208,Magadarun mahi,
209,pongovian dot toun,
210,Kadan polingan monurud dinot obuk,
211,sasarap,
212,Umbasibasi mamanau,
213,muli ko no biano,
214,Kasangai ngaran ku,
215,ino ngaran dot anak nu,
216,Asakahan yalo,
217,aso sarung i bantal dau,
218,kozuan dikou patahak,
219,Kadan magapid,
220,mosikim lumikop dati anak dot ulun,
221,Amu ma opusus,
222,moginuhod o magavuk oi,
223,Sumuti oku,
224,minggu rumikot muli opku sid kampung,
225,Amu kavasa sumaap,
226,molohing o moniag,
227,Amu kendakod oku Nabalu,
228,yoku diti tu biruvokon oku,
229,Biruvokon oku,
230,tumuddung no antad sid savat do bangunan,
231,Avang sino dati,
232,mitalib yalo,
233,Magamut silod apui,
234,sogiton ko no,
235,Dadang sid ropuhan,
236,iti gontizan nu,
237,Oho po ilo duatan ku dikau,
238,banal noko ozi ko dohon,
239,Gundul,
240,i aki sinukul dau it ulu dau,
241,Nakampis iti bula di tokou amu tokou,
242,kopimomoi diti,
243,Mansak,
244,ilo baba ovongi ogi,
245,Kadan,
246,mangamu ong tahankan do siin onuvoni,
247,Notongkop ku,
248,mananom do nizuw i tana ku,
249,Adavasi,
250,minggamagama ong biano,
251,Vizahon,
252,bo ong makan,
253,Mamabut,
254,i Kodili makan vitilon banal naku yosido,
255,Humuzas,
256,iti pogun do valai diti tu ongorobuk,
257,Nunu,
258,soluvon dit anak nu di kosino,
259,Ginit,
260,sinod raan do koliabas,
261,Soroho oku,
262,ong langadon ko dohon,
263,Obong sinod ongkob ong malan ko,
264,mamanau,
265,mamung mimomoi ong obogihad ko ulun,
266,Higak sid ginavoku tu nolingasan,
267,Yama do sakit,
268,Magandak,
269,yalo mogihad,
270,Tuhop,
271,siti ong modsu ko no,
272,Atagon,
273,sinod tukad tu alamou mahi ino,
274,Sumondot,
275,ilo tarabang,
276,Kovian,
277,mongomot biano tu opodok,
278,Iseso oku po sid alud yosido sid saralom do vaig Na ka di ginavo ku Ong aso,
279,koindakadan di kuvoon dino osuhul ong tumuhop oku diti ka di ginavo ku,
280,Gumama,
281,banal okonko bai humangi,
282,Mangasip,
283,ong barasan,
284,It ongoondu mamangasok,
285,ong sumakai,
286,sid ralan mamaagbaang mang ulun do neduan tuo,
287,Umbasibasi mamanau ong muli ko,
288,biano,
289,Navi ot asin ino pogi amu,
290,osin ino taduk dino,
291,Pising vizau,
292,makan kada kekumikum,
293,Amu kendakod oku Nabalu ong yoku diti tu biruvokon oku ong asavat,
294,mahi,
295,Biruvokon oku ong tumuddung,
296,antad sid savat do bangunan,
297,Siombo pinanau di Papang dikou diri tu sumodop,
298,nga amu po nokouli,
299,Omu,
300,kogoos tumakad do Nabalu,
301,Tuami,
302,po siombo tandas dikou,
303,Avuk,
304,diti Nenum,
305,Yoku kondiri o magazau ong vitilon,
306,no,
307,Sabap pogi om amu mangakan,
308,do lada husukon,
309,Monorou,
310,po do lumundu oku,
311,Soroho,
312,no ong langadon ko dohon,
313,Mamit,
314,dialo monuluw tinggol,
315,Kalu ong kosunu okoi Kumudat opungai,
316,laid do siin pamayal ku dino karan tokou,
317,Osusaan,
318,ginavo didino diti tu sumakit it anak ku,
319,Biano bala i jumumpa,
320,do dokutul diri,
321,Mimot,
322,po dioti mangagaraas dilo karabau,
323,Tiakan,
324,lumansat ong iti,
325,Iseso,
326,po sid alud yosido sid saralom do vaig Na ka di ginavo ku Ong aso no koindakadan di kuvoon dino osuhul ong tumuhop,
327,linugu dalai sid tagad ong iti,
328,Mangagama,
329,po di karaja ku om modop,
330,Osomok,
331,diti aka mozo ko dohon,
332,Tiumoning,
333,di odu mogom sid tingkang,
334,po do tinopis tiakan okuI will cook pancake,
335,Mongoduat,
336,dikou isai ngaran nu,
337,Abangat,
338,mangakan sada,
339,Sumuti,
340,ong minggu rumikot muli opku sid kampung,
341,Mongovit,
342,po do pazung tu dumarun dati,
343,Amu kendakod,
344,Nabalu ong yoku diti tu biruvokon,
345,Biruvokon,
346,ong tumuddung no antad sid savat do bangunan,
347,Banalko engin,
348,mozo dikau muli sid Morikan,
349,Ohigak,
350,tu nokotibang ko rumikot magandaha dohon,
351,Minduzuw,
352,po diti tingkang do binatang,
353,Ingin,
354,dika,
355,Magamut,
356,po sid apui notogipan,
357,Dumadang,
358,po silod ropuhan oi sogiton oku,
359,Toun vagu muvalai,
360,do banalko agazo o valai,
361,Mongoho,
362,do yoku minanganu di siin nu,
363,Sansangkil o kupi navi,
364,monginum dino no,
365,Pinilai,
366,yalo do binulugu do karatas,
367,Nolingan,
368,mananom i sakat,
369,Notongkop,
370,no mananom do nizuw i tana ku,
371,Onuvon,
372,ino duku dikou ong kozuan dikou patahakI,
373,Onuvo dikou i dunsul Pongodunsul,
374,dilo paku do nokotulai,
375,Oruol iti lunggazan,
376,diti nokokuro ma,
377,Inavol dit oduon,
378,iti banat,
379,Miluu kou songobpinai mai Mad amu osodirizan,
380,ikou,
381,Osorou,
382,do langadon ko dohon,
383,Kalu ong kosunu okoi Kumudat opungai oku laid do siin pamayal,
384,dino karan tokou,
385,Pungaranan,
386,ikau dot i Mosong,
387,Siti kod somok,
388,ong mokisuvu kono,
389,Aiyah Nolingan,
390,mongovit i pongizanan,
391,I gansing positio dikou pangalap,
392,dinot vaig do nuza,
393,Onuvo i surud ponurud,
394,diti somumut sid sunsud,
395,Makan tokou varo dinonsul,
396,do mampalam,
397,Kasangai ngaran,
398,ong ino ngaran dot anak nu,
399,ikouYour siblings look identical,
400,ino duku dikou ong kozuan dikou patahak,
401,Amazon,
402,ilo ama dilo sovoon nu dilo,
403,Oho po ilo duatan,
404,dikau ong banal noko ozi ko dohon,
405,Disai do siin iti,
406,mija diti,
407,Podopo,
408,dazung inot anak nu,
409,Posuvango ino buuk,
410,juli nu,
411,Posuvango,
412,tongkurung inot ombolog,
413,Varo nanakan,
414,longon ku,
415,Varo bajil do hiza mononjipun po ong,
416,mozium,
417,Mimbabarou no nga aso koulian dioti antad,
418,tagad Nokuro ma,
419,Adavasi no minggamagama ong biano no tu kipaip no,
420,valai,
421,Avuk oku diti Nenum oku dioti do lihing,
422,sombol,
423,Novunusan yalo,
424,tanga ralan tu kalasu dot addau,
425,Nunu o nabambaran dau,
426,tanga do vazaan,
427,Kopunovot mahi mimbasikal,
428,alunalun,
429,Isai nasala kosuvang,
430,torungku,
431,Higak,
432,ginavoku tu nolingasan no Yama do sakit,
433,Nozuzu it alunalun kumaa,
434,Ranau tu kologod do darun,
435,Iseso oku po,
436,alud yosido,
437,Ogumu gobuk,
438,katangaran,
439,Tiakan oku linugu dalai,
440,tagad ong iti,
441,Tiumoning oku di odu mogom,
442,tingkang,
443,Nakanu Yoboi do poliputan,
444,luvang do vatu i,
445,Onuvo i surud ponurud ku diti somumut,
446,sunsud,
447,Atagon no,
448,ralan mamaagbaang mang ulun do neduan tuo,
449,Nokorikot ko noka,
450,Sandakan dino,
451,Sumuti oku ong minggu rumikot muli opku,
452,kampung,
453,Pamasa po ka ayat antad,
454,Kitab tining oku,
455,Biruvokon oku ong tumuddung no antad,
456,savat do bangunan,
457,Banalko engin oku mozo dikau muli,
458,Morikan,
459,Apasong ko nokosobu ko naku,
460,suval nu,
461,Minamanau okoi,
462,Kudat biano,
463,Mamanau kito,
464,Kudat do suvab,
465,Manaupanau okoi,
466,natad hiza nokorikot yoti,
467,Magamut oku po,
468,apui notogipan oku do darun,
469,Dadang,
470,ropuhan ong sogiton ko no,
471,Nababol do kinulat ilo munung,
472,Orong,
473,I kinambo,
474,Idot ulun antad sori ponong Indon,
475,Aso obuk,
476,aki nu butulYour grandfather dosent have hair,
477,Nakampis iti bula,
478,tokou amu tokou no kopimomoi diti,
479,Karaharti noma manangama,
480,Norika ilot angaanak do nosingkapu dau,
481,Addau koduvo ogi kinapatazan,
482,kuvo biano,
483,Nunu no soluvon dit anak nu,
484,kosino,
485,Yoku nobo diti anak,
486,Bagu ka,
487,Samung kou,
488,YB kaluto ong manahak yalo do siin,
489,Obungou ko ulun ong anak,
490,Sikob manakau,
491,Aso gagamaon,
492,Adi bai modop nopo,
493,Nunu ka gingis,
494,kazu do koubat do tizan diri,
495,Nantakan do zuzu i valai,
496,Welson,
497,Posik no Eduan ko,
498,sumikul ko,
499,Iseso oku po sid alud yosido sid saralom do vaig Na ka,
500,ginavo ku Ong aso no koindakadan,
501,karaja ku om modop oku ogi,
502,Tiumoning oku,
503,odu mogom sid tingkang,
504,Obozigi mang ilo savo,
505,Onoi oi,
506,Ahadtong koulun mang ilo savo,
507,Maslina dino,
508,Romito ilo itunui,
509,Onong si dikau,
510,Aiyah Nolingan ku mongovit i pongizanan ku siiin ka,
511,Inai,
512,Aragang o sahat kurita,
513,Galong,
514,Asapou darun,
515,minsosodop sampai nakalampai i bavang,
516,Aso kerad kovosiho,
517,Mundari sitid kampung diti,
518,Rompok po,
519,Anak Isai naru dikou duvo,
520,Apasong ogi iti timog tu nosobuvan,
521,Kondong kosodop,
522,Siombo pinanau,
523,Papang dikou diri tu sumodop no nga amu po nokouli,
524,Mongoho oku do yoku minanganu,
525,siin nu,
526,I tokou solumpak vagu apatut do mongohorumat,
527,momodlohing no,
528,Mangakan,
529,ka do torosok,
530,Kobulun,
531,ka mintozog mitupak dot olungan,
532,Bongung,
533,ka tu amu korongou,
534,ka do sinamu,
535,Akan no vitilon,
536,dino,
537,Nunu ka sakit nu tu amu,
538,kapanau,
539,Osorou ku do langadon,
540,dohon,
541,Soroho oku no ong langadon,
542,Obungou,
543,ulun ong anak di Sikob manakau,
544,Obong sinod ongkob ong malan,
545,no mamanau,
546,Kadan no mamung mimomoi ong obogihad,
547,ulun,
548,Tuhop no siti ong modsu,
549,Posik no Eduan,
550,di sumikul ko,
551,Osomok oku diti aka mozo,
552,Andang,
553,bai ponugirak ong yalo dino dot ulun,
554,Obohog ino dolou nu ong mindolongoi,
555,Elo,
556,noka gumau dino,
557,Nokorikot,
558,noka sid Sandakan dino,
559,Umbasibasi mamanau ong muli,
560,no biano,
561,Minomoros,
562,nga amu do tisobu,
563,Karahati,
564,noka mongining boros do Kina,
565,Ohigak oku tu nokotibang,
566,rumikot magandaha dohon,
567,Apasong ko nokosobu,
568,naku sid suval nu,
569,Magamut silod apui ong sogiton,
570,Dadang sid ropuhan ong sogiton,
571,Oho po ilo duatan ku dikau ong banal noko ozi,
572,Omulok,
573,po dino kada po pokisavo,
574,Andak dilo savo,
575,sumundai,
576,Nunu no soluvon dit anak,
577,di kosino,
578,Nunu ka sakit,
579,tu amu ko kapanau,
580,Ogumu banal do rinda ino banat,
581,mogontong,
582,Rinaru sondulu,
583,diti etom po kagi,
584,Obohog ino dolou,
585,ong mindolongoi ko no,
586,Luu,
587,ilot vuros dot anak,
588,Amazon ku ilo ama dilo sovoon,
589,dilo,
590,Ohorotizani dau nunu ino boroson,
591,Nunu ka harati dino boroson,
592,Osogit banaton iti banat,
593,adamil,
594,Dumarun dati iti,
595,akapal ino mituvong,
596,Bongung ko ka,
597,amu korongou ko kodimon,
598,Adavasi no minggamagama ong biano no,
599,kipaip no sid valai,
600,Novunusan yalo sid tanga ralan,
601,kalasu dot addau,
602,Humuzas no iti pogun do valai diti,
603,ongorobuk no itit origi dau,
604,Posuvango inot sada silod aisbuk,
605,masa dati,
606,Sakai ong yalo,
607,insan ogi kosirid bandal,
608,Nunu ka sakit nu,
609,amu ko kapanau,
610,Osusaan oku ginavo didino diti,
611,sumakit it anak ku,
612,Amung siti dahai,
613,okudik ong yokoi,
614,Higak sid ginavoku,
615,nolingasan no Yama do sakit,
616,Atagon no sinod tukad,
617,alamou mahi ino,
618,Nozuzu it alunalun kumaa sid Ranau,
619,kologod do darun,
620,Kovian no mongomot biano,
621,opodok no it omoton nobi mongomot konihab,
622,Sumakap po mangakan do lada ong biano,
623,tinunuvan pahi ot ikana,
624,Osindak ong buluntung,
625,nopompon turu o warana,
626,Mongovit oku po do pazung,
627,dumarun dati,
628,Nokuro inot ulun dino,
629,mabalabas,
630,Amu kendakod oku Nabalu ong yoku diti,
631,biruvokon oku ong asavat no mahi,
632,Ohigak oku,
633,nokotibang ko rumikot magandaha dohon,
634,Apasong ogi iti timog,
635,nosobuvan di Kondong kosodop,
636,Siombo pinanau di Papang dikou diri,
637,sumodop no nga amu po nokouli,
638,Ikau,
639,osiou hodi garaso ilo manuk,
640,Amu,
641,mansak ilo apiapi,
642,Varo bajil do hiza mononjipun,
643,ong sid mozium,
644,Sumambayang tokou,
645,ong minggu,
646,Monorou oku,
647,do lumundu oku,
648,Mimot oku,
649,dioti mangagaraas dilo karabau,
650,Sumakap,
651,mangakan do lada ong biano tu tinunuvan pahi ot ikana,
652,Iseso oku,
653,sid alud yosido sid saralom do vaig Na ka di ginavo ku Ong aso no koindakadan di kuvoon dino osuhul ong tumuhop oku diti ka di ginavo ku,
654,Mangagama oku,
655,di karaja ku om modop oku ogi,
656,Rinaru sondulu nu diti etom,
657,kagi,
658,do tinopis tiakan okuI will cook pancake,
659,Rompok,
660,di Anak Isai naru dikou duvo,
661,Lungkabo,
662,dikou dohon iti vatu nodsitan iti hakod ku,
663,Mongovit oku,
664,do pazung tu dumarun dati,
665,Iti kosusaan diti lobi,
666,kopogos mantadko i nabambaran dit angaaki nu,
667,Pamasa,
668,ka ayat antad sid Kitab tining oku,
669,Minduzuw oku,
670,diti tingkang do binatang,
671,Siombo pinanau di Papang dikou diri tu sumodop no nga amu,
672,nokouli,
673,Magamut oku,
674,sid apui notogipan oku do darun,
675,Dumadang oku,
676,silod ropuhan oi sogiton oku,
677,Oho,
678,ilo duatan ku dikau ong banal noko ozi ko dohon,
679,Omulok ko,
680,dino kada,
681,Sansangkil o kupi navi ku monginum,
682,Oruhai mangagama,
683,bubu,
684,Lagadlagadan mongodunsul ino paku,
685,nga katisop koduruk,
686,Kalu ong kosunu okoi Kumudat opungai oku laid do siin pamayal ku,
687,karan tokou,
688,Ino tapung,
689,gandum o ginama,
690,Andang ko bai ponugirak ong yalo,
691,dot ulun,
692,Nunu ka harati,
693,boroson nu dino,
694,Nokuro inot ulun,
695,tu mabalabas,
696,Mansakpunti,
697,gingis do vulanut nga osilou o votik dot inan dau,
698,Humuzas no iti pogun do valai,
699,tu ongorobuk no itit origi dau,
700,Yoku,
701,ulun do mosikim,
702,Osusaan oku ginavo didino,
703,tu sumakit it anak ku,
704,Siombi antom,
705,soripal nu,
706,Onuvo i surud ponurud ku,
707,somumut sid sunsud,
708,Kuran gama mongodonsul,
709,pizas,
710,Iti kosusaan,
711,lobi po kopogos mantadko i nabambaran dit angaaki nu,
712,Amu kendakod oku Nabalu ong yoku,
713,tu biruvokon oku ong asavat no mahi,
714,Minduzuw oku po,
715,tingkang do binatang,
716,Disai do siin,
717,sid mija diti,
718,Ihibai poka do vaig,
719,sangit inumon ku,
720,Oruol,
721,angkakis ku noongipan do kabou,
722,Nakampis,
723,bula di tokou amu tokou no kopimomoi diti,
724,Nokokot dot asu,
725,votis ku,
726,Osogit banaton,
727,banat tu adamil,
728,Dumarun dati,
729,tu akapal ino mituvong,
730,Humuzas no,
731,pogun do valai diti tu ongorobuk no itit origi dau,
732,lunggazan ku diti nokokuro ma,
733,Inavol dit oduon ku,
734,banat ku diti,
735,Onsom ong,
736,bambangan,
737,Lungkabo po dikou dohon,
738,vatu nodsitan,
739,Apasong ogi,
740,timog tu nosobuvan di Kondong kosodop,
741,Osindak ong,
742,gontizan nu,
743,Dikau naku,
744,sirung diti kuvoon,
745,Lingguvang bo buzazat magapon,
746,odukon,
747,Nokokot,
748,asu iti votis ku,
749,Kobulun ko ka mintozog mitupak,
750,olungan,
751,Oruhai nom tumonob ilot mato,
752,addau,
753,Novunusan yalo sid tanga ralan tu kalasu,
754,I kosipan,
755,abanal o kapasi penlaid,
756,Puruto ilo loho,
757,inggaton,
758,Akahag o pongoretan ong ondu do songkovozoo do kusai,
759,okonko savo dau,
760,Pungaranan ku ikau,
761,i Mosong,
762,Andang ko bai ponugirak ong yalo dino,
763,Sumul mogoduw,
764,anak ong ikau,
765,Magadarun mahi ong pongovian,
766,toun,
767,Kasangai ngaran ku ong ino ngaran,
768,anak nu,
769,Luu nu ilot vuros,
770,anak nu hodi,
771,Kadan magapid ong mosikim lumikop dati anak,
772,I banat,
773,osilou ku nemot dikou oi,
774,Mansakpunti dino gingis do vulanut nga osilou o votik,
775,inan dau,
776,Gundul no,
777,aki sinukul dau it ulu dau,
778,Nolingan ku mananom,
779,sakat ku do padang,
780,Piro ot inaddahan ka do mangagaji,
781,bos mongomot,
782,Notongkop ku no mananom do nizuw,
783,tana ku,
784,Mamabut no,
785,Kodili makan vitilon banal naku yosido,
786,Onuvo dikou,
787,dunsul Pongodunsul ku dilo paku do nokotulai,
788,Biano bala,
789,jumumpa oku do dokutul diri,
790,Nantakan do zuzu,
791,valai di Welson,
792,Pungaranan ku ikau dot,
793,Mosong,
794,Sid siba do mija,
795,kunsi,
796,Nakanu Yoboi do poliputan sid luvang do vatu,
797,sid rahat okoi,
798,Aiyah Nolingan ku mongovit,
799,pongizanan ku siiin ka di Inai,
800,It ongoondu mamangasok no ong sumakai no,
801,pangasakan,
802,Asapou darun di minsosodop sampai nakalampai,
803,bavang,
804,Onuvo,
805,surud ponurud ku diti somumut sid sunsud,
806,Asakahan yalo ong aso sarung,
807,bantal dau,
808,Iti kosusaan diti lobi po kopogos mantadko,
809,nabambaran dit angaaki nu,
810,Mangakan ko,
811,do torosok,
812,Orikot nui,
813,monivol ilo raga dilo,
814,Kemot koi,
815,sinod tohudi,
816,Kobulun ko,
817,mintozog mitupak dot olungan,
818,Piro ot inaddahan,
819,do mangagaji i bos mongomot,
820,Bongung ko,
821,tu amu korongou ko kodimon,
822,do sinamu,
823,Yoku nobo diti anak di Bagu,
824,di Bandis,
825,sakit nu tu amu ko kapanau,
826,gingis di kazu do koubat do tizan diri,
827,Iseso oku po sid alud yosido sid saralom do vaig Na,
828,di ginavo ku Ong aso no koindakadan di kuvoon dino osuhul ong tumuhop oku diti,
829,Aiyah Nolingan ku mongovit i pongizanan ku siiin,
830,di Inai,
831,harati dino boroson nu dino,
832,Pamasa po,
833,ayat antad sid Kitab tining oku,
834,Dika,
835,do banat iti,
836,Nababol do kinulat,
837,munung di Orong,
838,Amu po mansak,
839,apiapi,
840,Mansak no,
841,baba ovongi ogi,
842,Orikot nui ka monivol,
843,raga dilo,
844,Minatai,
845,pizak Nokuro ino,
846,Puruto,
847,loho dot inggaton,
848,Hodi modtopik,
849,kara silod kazu,
850,Imatai dikou,
851,kara modturopik,
852,Sumondot no,
853,tarabang,
854,Obozigi mang,
855,savo di Onoi oi,
856,Ahadtong koulun mang,
857,savo di Maslina dino,
858,Romito,
859,itunui di Onong si dikau,
860,Toduko,
861,tivak do nizuw avahai dilot alad do manuk,
862,Amazon ku,
863,ama dilo sovoon nu dilo,
864,Oho po,
865,duatan ku dikau ong banal noko ozi ko dohon,
866,Ikau tu osiou hodi garaso,
867,manuk,
868,buuk sid juli nu,
869,Dumarun dati iti tu akapal,
870,mituvong,
871,Ponginingon,
872,pinalung,
873,Onuvon ku,
874,duku dikou ong kozuan dikou patahakI,
875,Lagadlagadan mongodunsul,
876,paku dino nga katisop koduruk,
877,Ogumu banal do rinda,
878,banat nu mogontong,
879,Tanamai labuk,
880,gopu nu,
881,Obohog,
882,dolou nu ong mindolongoi ko no,
883,Navi ot asin,
884,pogi amu no osin,
885,Kasangai ngaran ku ong,
886,ngaran dot anak nu,
887,duku dikou ong kozuan dikou patahak,
888,Ohorotizani dau nunu,
889,Avantang tanaman do punti,
890,napu dino,
891,Sansangkil,
892,kupi navi ku monginum dino no,
893,Ogumu ma dahava ong ikau,
894,barasan to,
895,I kosipan dot abanal,
896,kapasi penlaid,
897,nabambaran dau sid tanga do vazaan,
898,Yoku kondiri,
899,magazau ong vitilon oku no,
900,Akahag,
901,pongoretan ong ondu do songkovozoo do kusai dot okonko savo dau,
902,Ino tapung dino gandum,
903,ginama,
904,Aragang,
905,sahat kurita di Galong,
906,Osindak ong buluntung tu nopompon turu,
907,warana,
908,Sampai sera,
909,suti nu,
910,Amu ma opusus ong moginuhod,
911,magavuk oi,
912,Amu kavasa sumaap ong molohing,
913,moniag,
914,Toun vagu muvalai oku do banalko agazo,
915,Mansakpunti dino gingis do vulanut nga osilou,
916,votik dot inan dau,
