,phrase,translation
150,po sid alud yosido sid saralom do vaig Na ka di ginavo ku Ong aso,
151,Adavasi,
152,tu kipaip no,
153,antad,
154,Tuhop,
155,mahi,
156,sid alud yosido sid saralom do vaig Na ka di ginavo ku Ong aso,
157,di ginavo ku Ong aso,
158,ong asavat,
159,Ong aso,
160,koindakadan,
161,koindakadan di kuvoon dino osuhul ong tumuhop oku diti,
162,Biruvokon oku ong tumuddung,
163,saralom do vaig Na ka di ginavo ku Ong aso,
164,ginavo ku Ong aso,
165,Papang dikou diri tu sumodop,
166,nga amu,
167,tokou amu tokou,
168,kopimomoi diti,
169,ongorobuk,
170,kipaip,
171,sid valai,
172,minggamagama ong biano no,
173,Yama do sakit,
174,sumodop,
175,nga amu po nokouli,
176,koindakadan di kuvoon,
177,Iseso oku po sid alud yosido sid saralom do vaig Na ka di ginavo ku Ong aso,
178,tu ongorobuk,
179,koindakadan di kuvoon dino osuhul ong tumuhop oku,
180,Iseso,
181,Kalu ong kosunu okoi Kumudat opungai,
182,Avuk,
183,diti Nenum,
184,Mongovit,
185,diti ka di ginavo ku,
186,koponosok,
187,Amu kendakod,
188,laid do siin pamayal,
189,Soroho,
190,laid do siin pamayal ku,
191,diti,
192,Biruvokon,
193,biruvokon,
194,tu biruvokon,
195,Ong aso no koindakadan di kuvoon dino osuhul ong tumuhop,
196,po sid alud yosido sid saralom do vaig Na ka di ginavo,
197,om modop,
198,ogi,
199,ong tumuddung no antad,
200,Magamut,
201,Tiakan,
202,linugu dalai,
203,saralom do vaig Na ka di ginavo ku Ong aso no koindakadan di kuvoon dino osuhul ong tumuhop,
204,po sid alud yosido sid saralom do vaig Na ka,
205,diti ka,
206,kuvoon dino osuhul ong tumuhop,
207,Nabalu ong yoku diti,
208,osuhul ong tumuhop,
209,po sid alud yosido sid saralom do vaig Na ka di ginavo ku Ong aso no koindakadan di kuvoon,
210,Nenum,
211,dioti,
212,Minduzuw,
213,Nabalu ong yoku,
214,dioti do lihing,
215,di ginavo ku Ong aso no koindakadan di kuvoon dino osuhul ong tumuhop,
216,po sid alud yosido sid saralom do vaig Na,
217,dino karan tokou,
218,Ong aso no koindakadan di kuvoon dino osuhul ong tumuhop oku diti ka di ginavo ku,
219,angkakis,
220,Notongkop,
221,dunsul Pongodunsul,
222,Oho po ilo duatan,
223,sid alud yosido sid saralom do vaig Na ka di ginavo,
224,ilo duatan,
225,di ginavo,
226,duatan,
227,Iseso oku po sid alud yosido sid saralom do vaig Na ka di ginavo,
228,ginavo,
229,karaja,
230,di karaja,
231,saralom do vaig Na ka di ginavo,
232,surud ponurud,
233,diti somumut,
234,Ong aso no koindakadan,
235,pongizanan,
236,siiin ka,
237,dikau ong banal noko ozi,
238,Ong aso no koindakadan di kuvoon,
239,kupi navi,
240,monginum,
241,Ong aso no koindakadan di kuvoon dino osuhul ong tumuhop oku,
242,Nolingan,
243,Aiyah Nolingan,
244,mongovit,
245,siiin,
246,Ong aso no koindakadan di kuvoon dino osuhul ong tumuhop oku diti,
247,Kasangai ngaran,
248,ong,
249,Iseso oku po,
250,alud yosido,
251,sid alud yosido,
252,nabambaran dau,
253,Dadang,
254,Higak,
255,savat do bangunan,
256,apui notogipan oku,
257,sunsud,
258,saralom do vaig Na ka,
259,ginavoku,
260,Nozuzu it alunalun kumaa,
261,Ranau,
262,kipaip no,
263,Novunusan yalo,
264,tanga ralan,
265,mozium,
266,saralom do vaig Na,
267,saralom do vaig Na ka di ginavo ku Ong aso no koindakadan di kuvoon,
268,saralom do vaig Na ka di ginavo ku Ong aso no koindakadan di kuvoon dino osuhul ong tumuhop oku,
269,somumut,
270,ginavo ku Ong aso no koindakadan,
271,Samung kou,
272,ginavo ku,
273,Sikob manakau,
274,sid alud yosido sid saralom do vaig Na ka,
275,di ginavo ku Ong aso no koindakadan,
276,kuvoon dino osuhul ong tumuhop oku diti ka,
277,Iseso oku po sid alud yosido sid saralom do vaig Na ka,
278,Siombo pinanau,
279,bula,
280,kuvoon dino osuhul ong tumuhop oku diti,
281,Inai,
282,Papang dikou diri,
283,nosobuvan,
284,Kondong kosodop,
285,osuhul ong tumuhop oku diti ka,
286,kuvoon,
287,ka,
288,kuvoon dino osuhul ong tumuhop oku,
289,Bagu,
290,Welson,
291,munung,
292,Orong,
293,dohon,
294,Obungou,
295,Andang,
296,tu amu,
297,kapanau,
298,ong mindolongoi,
299,amu,
300,dolou,
301,boroson,
302,dino,
303,banat,
304,mogontong,
305,dumarun dati,
306,tinunuvan pahi ot ikana,
307,ongorobuk no itit origi dau,
308,nopompon turu,
309,Higak sid ginavoku,
310,Siombo pinanau di Papang dikou diri,
311,pogun do valai diti,
312,kalasu,
313,sumodop no nga amu,
314,timog,
315,sakit nu,
316,Sumakap,
317,Iseso oku,
318,Oho,
319,nokouli,
320,sid alud yosido sid saralom do vaig Na ka di ginavo ku Ong aso no koindakadan di kuvoon,
321,kada,
322,pokisavo,
323,lobi,
324,kopogos mantadko,
325,sid alud yosido sid saralom do vaig Na,
326,karan tokou,
327,osuhul ong tumuhop oku diti ka di ginavo ku,
328,Mansakpunti,
329,dot ulun,
330,di ginavo ku Ong aso no koindakadan di kuvoon,
331,osuhul ong tumuhop oku diti,
332,harati,
333,osuhul ong tumuhop oku,
334,gingis do vulanut nga osilou,
335,Avuk oku,
336,ka di ginavo ku,
337,tu ongorobuk no itit origi dau,
338,pogun do valai,
339,surud ponurud ku,
340,Yoku nobo,
341,Iti kosusaan,
342,Humuzas no,
343,Oruol,
344,Nakampis,
345,Apasong ogi,
346,inan dau,
347,okonko savo dau,
348,addau,
349,ngaran,
350,anak nu,
351,votik,
352,tana ku,
353,sakat ku,
354,Onuvo dikou,
355,Onuvo,
356,nabambaran dit angaaki nu,
357,di ginavo ku Ong aso no koindakadan di kuvoon dino osuhul ong tumuhop oku diti,
358,di ginavo ku,
359,Iseso oku po sid alud yosido sid saralom do vaig Na,
360,di Inai,
361,Nunu,
362,di ginavo ku Ong aso no koindakadan di kuvoon dino osuhul ong tumuhop oku,
363,Oho po,
364,Obohog,
365,votik dot inan dau,
366,Akahag,
367,Yoku kondiri,
368,Sansangkil,
369,warana,
