word,frequency
wash,1
dishes,1
occur,1
necessity,1
deceased,1
relative,1
before,1
burial,1
stuff,1
offend,1
offended,1
forcefully,1
unashamedly,1
offering,1
office,1
rats,1
topic,1
ohoh,1
drum,1
smeared,1
oiled,1
oily,1
okay,1
pacify,1
pack,1
package,1
husk,1
sow,1
stalk,1
padlock,1
pady,1
farmer,1
page,1
paint,1
painting,1
paket,1
pal,1
palace,1
palate,1
pale,1
pamelo,1
pampered,1
daughter,1
pancake,1
pancreas,1
panic,1
panicing,1
style,1
bellbottoms,1
papa,1
bags,1
parable,1
paradise,1
parasite,1
parcel,1
parentsinlaw,1
ceremony,1
paricipate,1
parish,1
quake,1
quality,1
fitting,1
quarrel,1
quarter,1
questionnaire,1
queue,1
quickaction,1
quickly,1
quicktempered,1
light,1
quiver,1
race,1
rag,1
ragged,1
torn,1
drizzly,1
hardly,1
brook,1
slightly,1
rainbow,1
raincoat,1
rained,1
buttock,1
buttocks,1
raising,1
rally,1
rambutans,1
range,1
vision,1
ransom,1
rap,1
rare,1
rarely,1
rasp,1
binder,1
mat,1
straps,1
rattle,1
ravenge,1
ravenous,1
wound,1
path,1
touching,1
eye,1
Sabahan,1
indigenous,1
sack,1
sacrifice,1
sadness,1
sahre,1
boundaries,1
stern,1
storm,1
upstream,1
sailing,1
salary,1
saleable,1
saliva,1
salivating,1
salty,1
salughter,1
salwater,1
age,1
fate,1
height,1
level,1
sides,1
sameness,1
sample,1
sandy,1
sane,1
saperated,1
sarcastic,1
satiated,1
tadpole,1
bone,1
tailles,1
2nd,1
anu,1
scenery,1
aim,1
control,1
things,1
others,1
quantities,1
plenty,1
custody,1
lumps,1
using,1
bare,1
sigal,1
responsibility,1
root,1
rights,1
shower,1
stumps,1
latex,1
ugly,1
ulcer,1
ulcus,1
speak,1
unbalanced,1
unchanged,1
uncomfortable,1
uncommon,1
unconcious,1
unconscious,1
unconsious,1
uncontrolled,1
bushfire,1
faults,1
uncovered,1
undecided,1
pressure,1
underfloor,1
boards,1
undergrowth,1
underlay,1
underline,1
underneath,1
underwear,1
underworld,1
undivisible,1
undress,1
undressed,1
undrestood,1
uneasy,1
mouthchin,1
chin,1
caused,1
toothlessness,1
unfasten,1
unfortunate,1
unhuriedly,1
uniform,1
unintentionally,1
union,1
vaccinate,1
vague,1
vale,1
valiant,1
amount,1
flat,1
being,1
ancient,1
valuables,1
valued,1
brassware,1
vampiresque,1
varicose,1
veins,1
various,1
varnish,1
vast,1
marrow,1
vegetables,1
veil,1
vein,1
veneral,1
disease,1
venom,1
venomous,1
Venusstar,1
verify,1
versus,1
vertical,1
verticle,1
vertigo,1
lumpy,1
unrespected,1
smelly,1
sweet,1
thin,1
wad,1
wage,1
wail,1
waisting,1
wake,1
waken,1
longhouse,1
tiptoe,1
till,1
walkaway,1
destinations,1
stick,1
stiffening,1
wallet,1
mud,1
wallowing,1
walls,1
taken,1
wardrobe,1
medicated,1
dressing,1
warmself,1
xercise,1
patience,1
yale,1
yank,1
yarn,1
yawn,1
yawning,1
sole,1
foot,1
nose,1
yeast,1
yell,1
cucumber,1
yellowish,1
man,1
youngest,1
youngsters,1
youth,1
zero,1
zigzag,1
pour,1
swallowed,1
Tarob,1
finish,1
coffee,1
Orong,1
cookies,1
puppies,1
crab,1
pinch,1
Idot,1
househelp,1
Indonesia,1
book,1
Worm,1
lure,1
best,1
rodfishing,1
Grandpa,1
shave,1
play,1
football,1
our,1
deflated,1
forgot,1
padang,1
apiapi,1
baba,1
aromatic,1
escaped,1
biten,1
nurse,1
clinic,1
sister,1
Norika,1
step,1
childrens,1
knows,1
abnormal,1
growth,1
arm,1
during,1
museum,1
dose,1
health,1
enough,1
Dagger,1
sharp,1
wear,1
Dance,1
swim,1
across,1
getting,1
returned,1
fields,1
ever,1
cloud,1
after,1
whatsisname,1
boss,1
paying,1
harvest,1
chick,1
Are,1
listening,1
argue,1
much,1
advised,1
burning,1
pile,1
Dont,1
refuse,1
given,1
Walk,1
holding,1
torch,1
Use,1
finished,1
coconut,1
trees,1
Housework,1
become,1
piped,1
nearly,1
set,1
trap,1
sauerkraut,1
sure,1
satisfy,1
hunger,1
Kodili,1
gobbling,1
must,1
buisness,1
toilet,1
drunk,1
They,1
wine,1
neighbourhood,1
Faith,1
belief,1
live,1
stilts,1
Gather,1
Galangal,1
spicy,1
church,1
Sunday,1
born,1
norm,1
knock,1
Knock,1
deep,1
faster,1
wrist,1
sweater,1
grandmother,1
strongest,1
Hang,1
branches,1
As,1
Bagu,1
Bandis,1
refrigerator,1
siblings,1
That,1
heartburn,1
city,1
imagining,1
rich,1
Imagine,1
woman,1
runs,1
stay,1
leave,1
electric,1
bill,1
payment,1
mmaybe,1
cycling,1
oin,1
People,1
wrong,1
Adi,1
sleeps,1
whole,1
playing,1
cry,1
Join,1
few,1
fell,1
healed,1
Modtopik,1
yara,1
silod,1
kazu,1
branchess,1
while,1
crying,1
Hop,1
bath,1
running,1
medicine,1
craving,1
special,1
goun,1
Carefull,1
stairs,1
slipery,1
plane,1
Ranau,1
washed,1
Welson,1
hit,1
harvesting,1
areas,1
harvested,1
For,1
cope,1
sting,1
sidedish,1
shit,1
Wake,1
Or,1
school,1
alone,1
So,1
thought,1
does,1
manage,1
d,1
Many,1
swamp,1
farm,1
Plant,1
Human,1
beings,1
Work,1
fun,1
black,1
Mosong,1
voice,1
follow,1
feed,1
sit,1
grandma,1
key,1
Without,1
flour,1
Onoi,1
Listen,1
Yoboi,1
Of,1
wants,1
laugh,1
Maslina,1
stocky,1
bass,1
singing,1
Take,1
Onong,1
Oh,1
purse,1
Inai,1
All,1
right,1
agree,1
women,1
start,1
constellation,1
Galong,1
car,1
slippers,1
Cook,1
edible,1
wings,1
cause,1
pancreass,1
unfunctional,1
scold,1
asking,1
Ask,1
teacher,1
Give,1
rug,1
wipe,1
spilled,1
overflow,1
Ranibow,1
beautiful,1
seven,1
When,1
December,1
Year,1
Fetch,1
sweep,1
rubbish,1
comb,1
raped,1
Extra,1
carefull,1
Until,1
holiday,1
Sandakan,1
Have,1
tell,1
mana,1
pee,1
untill,1
urinated,1
manggo,1
No,1
more,1
savoury,1
dish,1
beauty,1
Mundari,1
kampong,1
Anak,1
taller,1
A,1
pillow,1
pillowcase,1
feels,1
dirty,1
disgusted,1
untiil,1
shy,1
starve,1
Drunken,1
controled,1
week,1
feet,1
future,1
fatherinlaw,1
pickled,1
starfruit,1
Chiness,1
language,1
These,1
troubles,1
than,1
ancestors,1
experienced,1
Read,1
bible,1
giving,1
high,1
top,1
really,1
return,1
America,1
visit,1
blanket,1
urinate,1
Kondong,1
urine,1
doing,1
homework,1
Wait,1
tomorrow,1
Papang,1
already,1
noon,1
but,1
ve,1
wooden,1
kitchen,1
trhekitchen,1
threads,1
colourfull,1
build,1
color,1
admit,1
took,1
Say,1
Because,1
brave,1
hat,1
mister,1
